"current_file","current_functions","proposed_file","proposed_module","action","phase","tests_affected","documentation_affected","risk","notes"
"R/annual_index.R","annual_index","R/annual_index.R","aggregation","retain-file","preserve through core stabilization","tests/testthat/test-clim-anom.R; tests/testthat/test-refactor-layer-annual-backend.R; tests/testthat/test-scientific-baseline.R","handbook/07-temporal-climatology.qmd; handbook/09-function-reference.qmd; handbook/functions/annual_index.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd; inst/examples/refactor_layer_annual_backend.R; man/annual_index.Rd","low","Keep current physical layout in the cleanup phase."
"R/anom_diff.R",".anom_from_clim; .clim_index; anom_diff; anom_z; signal_noise","R/anom_diff.R","anomaly","retain-file","preserve through core stabilization","tests/testthat/test-clim-anom.R; tests/testthat/test-daily-link.R; tests/testthat/test-refactor-temporal-backend.R; tests/testthat/test-scientific-baseline.R","docs/roadmap/oceancube-v0.2.0-scope.Rmd; handbook/07-temporal-climatology.qmd; handbook/09-function-reference.qmd; handbook/14-cheat-sheet.qmd; handbook/functions/anom_diff.qmd; handbook/functions/anom_z.qmd; handbook/functions/signal_noise.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd; inst/examples/baseline_ocean_cube.R; inst/examples/refactor_temporal_backend.R; man/anom_diff.Rd; man/anom_z.Rd; man/signal_noise.Rd; README.md; README.Rmd; vignettes/oceancube-introduction.Rmd","low","Keep current physical layout in the cleanup phase."
"R/backend-index.R",".cube_product_as_double; .cube_read_spatial_pairs; .plan_cube_index_read; .spatial_pair_map; .validate_spatial_pair_read","R/backend-index.R","backend/netcdf","retain-file","preserve through core stabilization","tests/testthat/test-backend-netcdf-noncontiguous.R","inst/examples/noncontiguous_collect.R","low","Keep current physical layout in the cleanup phase."
"R/backend-memory.R",".cube_axis_names; .cube_backend; .cube_read; .cube_read_block; .cube_read_spatial_pairs_memory; .cube_storage_shape; .cube_write_block; .new_collected_memory_cube; .new_selected_memory_cube; .require_memory_backend; .validate_cube_block; .validate_cube_block_vector; .validate_cube_index; .validate_cube_position; .validate_memory_backend","R/backend-memory.R","backend/netcdf","retain-file","preserve through core stabilization","tests/testthat/test-backend-memory.R; tests/testthat/test-backend-netcdf-descriptor.R; tests/testthat/test-backend-netcdf-noncontiguous.R; tests/testthat/test-backend-netcdf-read-block.R; tests/testthat/test-cube-collect.R; tests/testthat/test-cube-crop.R; tests/testthat/test-cube-extract.R; tests/testthat/test-cube-mask.R; tests/testthat/test-cube-slice.R; tests/testthat/test-ocean-cube-contract.R; tests/testthat/test-refactor-coast-dist-backend.R; tests/testthat/test-refactor-layer-annual-backend.R; tests/testthat/test-refactor-link-events-backend.R; tests/testthat/test-refactor-temporal-backend.R; tests/testthat/test-release-contract.R","inst/examples/backend_memory.R; inst/examples/backend_netcdf_descriptor.R; inst/examples/backend_netcdf_read_block.R; inst/examples/cube_crop.R; inst/examples/cube_mask.R; inst/examples/cube_slice.R; inst/examples/noncontiguous_collect.R; inst/examples/ocean_cube_contract.R; inst/examples/refactor_coast_dist_backend.R; inst/examples/refactor_layer_annual_backend.R; inst/examples/refactor_link_events_backend.R; inst/examples/refactor_temporal_backend.R; man/cube_crop.Rd; man/cube_slice.Rd","low","Keep current physical layout in the cleanup phase."
"R/backend-netcdf.R",".cube_read_block_netcdf; .cube_read_netcdf; .cube_read_spatial_pairs_netcdf; .decode_netcdf_block; .decode_netcdf_time; .ncvar_get_block; .netcdf_abort; .netcdf_as_utc; .netcdf_attribute; .netcdf_block_dimnames; .netcdf_canonical_dimension; .netcdf_contains_forbidden_object; .netcdf_dimension_evidence; .netcdf_dimension_metadata; .netcdf_file_identity; .netcdf_optional_number; .netcdf_optional_string; .netcdf_scalar_string; .netcdf_variable_map; .new_netcdf_cube; .new_netcdf_storage; .read_netcdf_coordinate; .read_netcdf_index_plan; .read_netcdf_variable_block; .resolve_netcdf_dimension; .translate_netcdf_block; .validate_netcdf_file_identity; .validate_netcdf_physical_schema; .validate_netcdf_storage; .validate_netcdf_variables_argument; .with_netcdf_connection","R/backend-netcdf-{metadata,index,read,selection}.R","backend/netcdf","split-later","after alias introduction and baseline tests","tests/testthat/test-backend-netcdf-descriptor.R; tests/testthat/test-backend-netcdf-noncontiguous.R; tests/testthat/test-backend-netcdf-read-block.R; tests/testthat/test-cube-collect.R; tests/testthat/test-cube-crop.R; tests/testthat/test-cube-extract.R; tests/testthat/test-cube-grid-geometry.R; tests/testthat/test-cube-mask.R; tests/testthat/test-cube-polygon-weights.R; tests/testthat/test-cube-slice.R; tests/testthat/test-cube-transect.R; tests/testthat/test-refactor-link-events-backend.R","inst/examples/backend_netcdf_descriptor.R; inst/examples/backend_netcdf_read_block.R; inst/examples/cube_crop.R; inst/examples/cube_extract.R; inst/examples/cube_mask.R; inst/examples/cube_slice.R; inst/examples/cube_transect.R; inst/examples/noncontiguous_collect.R","high: broad internal dependency surface","Plan only; move no file until behavior-preserving tests and rollback boundary are approved."
"R/clim_day.R",".daily_keys; .date_key; clim_day; print.ocean_clim","R/clim_day.R","climatology","retain-file","preserve through core stabilization","tests/testthat/test-daily-link.R; tests/testthat/test-refactor-temporal-backend.R; tests/testthat/test-scientific-baseline.R","docs/roadmap/oceancube-v0.2.0-scope.Rmd; handbook/07-temporal-climatology.qmd; handbook/09-function-reference.qmd; handbook/14-cheat-sheet.qmd; handbook/functions/clim_day.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd; man/anom_diff.Rd; man/anom_z.Rd; man/clim_day.Rd; man/signal_noise.Rd; README.md; README.Rmd; vignettes/oceancube-introduction.Rmd","low","Keep current physical layout in the cleanup phase."
"R/clim_month.R","clim_month","R/clim_month.R","climatology","retain-file","preserve through core stabilization","tests/testthat/test-backend-memory.R; tests/testthat/test-clim-anom.R; tests/testthat/test-cube-collect.R; tests/testthat/test-cube-slice.R; tests/testthat/test-ocean-cube-contract.R; tests/testthat/test-refactor-temporal-backend.R; tests/testthat/test-release-contract.R; tests/testthat/test-scientific-baseline.R","docs/roadmap/oceancube-v0.2.0-scope.Rmd; handbook/07-temporal-climatology.qmd; handbook/09-function-reference.qmd; handbook/14-cheat-sheet.qmd; handbook/functions/clim_month.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd; inst/examples/baseline_ocean_cube.R; inst/examples/refactor_temporal_backend.R; man/anom_diff.Rd; man/anom_z.Rd; man/clim_month.Rd; man/signal_noise.Rd; README.md; README.Rmd; vignettes/oceancube-introduction.Rmd","low","Keep current physical layout in the cleanup phase."
"R/cm_setup.R","cm_connect; cm_setup","R/cm_setup.R","ingestion-copernicus","retain-file","preserve through core stabilization","","handbook/04-data-access.qmd; handbook/09-function-reference.qmd; handbook/functions/cm_connect.qmd; handbook/functions/cm_setup.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd; man/cm_connect.Rd; man/cm_setup.Rd","low","Keep current physical layout in the cleanup phase."
"R/coast_dist.R","coast_dist","R/coast_dist.R","geometry/masks","retain-file","preserve through core stabilization","tests/testthat/test-refactor-coast-dist-backend.R","handbook/06-masks.qmd; handbook/09-function-reference.qmd; handbook/functions/coast_dist.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd; inst/examples/refactor_coast_dist_backend.R; man/coast_dist.Rd","low","Keep current physical layout in the cleanup phase."
"R/cube_collect.R",".cube_estimated_bytes; cube_collect","R/cube_collect.R","extraction","retain-file","preserve through core stabilization","tests/testthat/test-cube-collect.R; tests/testthat/test-cube-crop.R; tests/testthat/test-cube-mask.R; tests/testthat/test-cube-slice.R; tests/testthat/test-cube-transect.R; tests/testthat/test-release-contract.R","docs/roadmap/oceancube-v0.2.0-scope.Rmd; handbook/03-ocean-cube-object.qmd; handbook/04-data-access.qmd; handbook/09-function-reference.qmd; handbook/14-cheat-sheet.qmd; handbook/functions/cube_collect.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd; inst/examples/cube_transect.R; inst/examples/noncontiguous_collect.R; man/cube_collect.Rd; man/cube_crop.Rd; man/cube_slice.Rd; NEWS.md; README.md; README.Rmd; vignettes/oceancube-architecture.Rmd; vignettes/oceancube-introduction.Rmd","low","Keep current physical layout in the cleanup phase."
