"function_name","current_file","current_module","proposed_module","proposed_file","move_required","rename_required","notes"
"annual_index","R/annual_index.R","aggregation","aggregation","cube-aggregate.R",TRUE,FALSE,"Proposal only; no file was moved."
"cube_roll","","not-implemented","aggregation","cube-aggregate.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"to_day","","not-implemented","aggregation","cube-aggregate.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"to_month","R/to_month.R","aggregation","aggregation","cube-aggregate.R",TRUE,FALSE,"Proposal only; no file was moved."
"to_season","","not-implemented","aggregation","cube-aggregate.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"to_week","","not-implemented","aggregation","cube-aggregate.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"to_year","","not-implemented","aggregation","cube-aggregate.R",FALSE,TRUE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"viz.animate","","not-implemented","animation","viz-animation.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"viz.animate_hovmoller","","not-implemented","animation","viz-animation.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"viz.animate_map","","not-implemented","animation","viz-animation.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"viz.animate_profile","","not-implemented","animation","viz-animation.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"viz.animate_section","","not-implemented","animation","viz-animation.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"viz.save_gif","","not-implemented","animation","viz-animation.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"anom_class","","not-implemented","anomaly","cube-anomaly.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"anom_cumsum","","not-implemented","anomaly","cube-anomaly.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"anom_diff","R/anom_diff.R","anomaly","anomaly","cube-anomaly.R",TRUE,FALSE,"Proposal only; no file was moved."
"anom_percent","","not-implemented","anomaly","cube-anomaly.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"anom_percentile","","not-implemented","anomaly","cube-anomaly.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"anom_ratio","","not-implemented","anomaly","cube-anomaly.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"anom_robust","","not-implemented","anomaly","cube-anomaly.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"anom_z","R/anom_diff.R","anomaly","anomaly","cube-anomaly.R",TRUE,FALSE,"Proposal only; no file was moved."
"signal_noise","R/anom_diff.R","anomaly","anomaly","cube-anomaly.R",TRUE,FALSE,"Proposal only; no file was moved."
"cube_detrend","","not-implemented","change","cube-change.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"cube_diff","","not-implemented","change","cube-change.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"cube_gradient","","not-implemented","change","cube-change.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"cube_rate","","not-implemented","change","cube-change.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"cube_rolling_slope","","not-implemented","change","cube-change.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"cube_slope","","not-implemented","change","cube-change.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"cube_vertical_gradient","","not-implemented","change","cube-change.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"clim_custom","","not-implemented","climatology","cube-climatology.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"clim_day","R/clim_day.R","climatology","climatology","cube-climatology.R",TRUE,FALSE,"Proposal only; no file was moved."
"clim_month","R/clim_month.R","climatology","climatology","cube-climatology.R",TRUE,FALSE,"Proposal only; no file was moved."
"clim_season","","not-implemented","climatology","cube-climatology.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"clim_week","","not-implemented","climatology","cube-climatology.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"clim_year","","not-implemented","climatology","cube-climatology.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"cube_collect","R/cube_collect.R","extraction","core-object","cube-class.R",TRUE,FALSE,"Proposal only; no file was moved."
"ocean_cube","R/ocean_cube.R","core-object","core-object","cube-class.R",TRUE,FALSE,"Proposal only; no file was moved."
"print.ocean_clim","R/clim_day.R","climatology","core-object","cube-class.R",TRUE,FALSE,"Proposal only; no file was moved."
"print.ocean_cube","R/ocean_cube.R","core-object","core-object","cube-class.R",TRUE,FALSE,"Proposal only; no file was moved."
"print.ocean_mask","R/stock_mask.R","geometry/masks","core-object","cube-class.R",TRUE,FALSE,"Proposal only; no file was moved."
"summary.ocean_cube","R/ocean_cube.R","core-object","core-object","cube-class.R",TRUE,FALSE,"Proposal only; no file was moved."
"write_metadata","","not-implemented","export","export.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"write_nc","","not-implemented","export","export.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"write_rds","","not-implemented","export","export.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"write_stac","","not-implemented","export","export.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"write_table","","not-implemented","export","export.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"write_zarr","","not-implemented","export","export.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"cube_extract","R/cube_extract.R","extraction","extraction","cube-extract.R",TRUE,FALSE,"Proposal only; no file was moved."
"cube_transect","R/cube_transect.R","extraction","extraction","cube-extract.R",TRUE,FALSE,"Proposal only; no file was moved."
"coast_dist","R/coast_dist.R","geometry/masks","geometry","cube-geometry.R",TRUE,FALSE,"Proposal only; no file was moved."
"crop_stock","R/stock_mask.R","geometry/masks","geometry","cube-geometry.R",TRUE,FALSE,"Proposal only; no file was moved."
"cube_cell_area","R/cube_grid_geometry.R","geometry/masks","geometry","cube-geometry.R",TRUE,FALSE,"Proposal only; no file was moved."
"cube_cell_volume","R/cube_grid_geometry.R","geometry/masks","geometry","cube-geometry.R",TRUE,FALSE,"Proposal only; no file was moved."
"cube_layer_thickness","R/cube_grid_geometry.R","geometry/masks","geometry","cube-geometry.R",TRUE,FALSE,"Proposal only; no file was moved."
"cube_polygon_weights","R/cube_polygon_weights.R","geometry/masks","geometry","cube-geometry.R",TRUE,FALSE,"Proposal only; no file was moved."
"stock_mask","R/stock_mask.R","geometry/masks","geometry","cube-geometry.R",TRUE,FALSE,"Proposal only; no file was moved."
"cm_connect","R/cm_setup.R","ingestion-copernicus","ingestion-copernicus","io-copernicus.R",TRUE,FALSE,"Proposal only; no file was moved."
"cm_setup","R/cm_setup.R","ingestion-copernicus","ingestion-copernicus","io-copernicus.R",TRUE,FALSE,"Proposal only; no file was moved."
"download_copernicus","","not-implemented","ingestion-copernicus","io-copernicus.R",FALSE,TRUE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"download_nc","R/download_nc.R","ingestion-copernicus","ingestion-copernicus","io-copernicus.R",TRUE,TRUE,"Proposal only; no file was moved."
"download_erddap","","not-implemented","ingestion-erddap","io-erddap.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"cube_ingest","","not-implemented","ingestion-netcdf","io-netcdf.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"read_nc","R/read_nc.R","backend/netcdf","ingestion-netcdf","io-netcdf.R",TRUE,FALSE,"Proposal only; no file was moved."
"read_opendap","","not-implemented","ingestion-netcdf","io-netcdf.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"read_thredds","","not-implemented","ingestion-netcdf","io-netcdf.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"read_zarr","","not-implemented","ingestion-netcdf","io-netcdf.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
