"function_name","source_file","purpose_current","input","output","documented","tested","example_available","roadmap_decision","proposed_0.2_name","compatibility_strategy","evidence","notes"
"annual_index","R/annual_index.R","Compute annual indicators from an ocean cube","x, threshold_pos, threshold_neg"," A data frame of annual indicators by variable and depth layer. ",TRUE,TRUE,TRUE,"review","","human decision required before API change","NAMESPACE export; man/annual_index.Rd; 3 direct-call test files; roadmap review required","Purpose/output summarized from current Rd; verify semantics before redesign."
"anom_diff","R/anom_diff.R","Compute absolute anomalies from a climatology","x, clim"," An \verb{<ocean_cube>} with anomaly values \code{x - climatology}. ",TRUE,TRUE,TRUE,"retain","anom_diff","retain public name and expand only with compatible defaults","NAMESPACE export; man/anom_diff.Rd; 4 direct-call test files; roadmap section 21.3","Purpose/output summarized from current Rd; verify semantics before redesign."
"anom_z","R/anom_diff.R","Compute standardized anomalies from a climatology","x, clim"," An \verb{<ocean_cube>} with standardized anomaly values \code{(x - climatology) / sd_clim}. ",TRUE,TRUE,TRUE,"retain","anom_z","retain public name and expand only with compatible defaults","NAMESPACE export; man/anom_z.Rd; 3 direct-call test files; roadmap section 21.3","Purpose/output summarized from current Rd; verify semantics before redesign."
"clim_day","R/clim_day.R","Compute daily climatology from an ocean cube","x, period, leap, min_n"," An object of class \verb{<ocean_clim>}. ",TRUE,TRUE,TRUE,"retain","clim_day","retain public name and expand only with compatible defaults","NAMESPACE export; man/clim_day.Rd; 3 direct-call test files; roadmap section 21.3","Purpose/output summarized from current Rd; verify semantics before redesign."
"clim_month","R/clim_month.R","Compute monthly climatology from an ocean cube","x, period"," An object of class \verb{<ocean_clim>}. ",TRUE,TRUE,TRUE,"retain","clim_month","retain public name and expand only with compatible defaults","NAMESPACE export; man/clim_month.Rd; 8 direct-call test files; roadmap section 21.3","Purpose/output summarized from current Rd; verify semantics before redesign."
"cm_connect","R/cm_setup.R","Connect to the Copernicus Marine Python module","env, required, module, verbose"," Imported Python module. ",TRUE,FALSE,TRUE,"retain","cm_connect","retain public name and expand only with compatible defaults","NAMESPACE export; man/cm_connect.Rd; no direct-call test file; roadmap section 21.3","Purpose/output summarized from current Rd; verify semantics before redesign."
"cm_setup","R/cm_setup.R","Set up the Python environment used by Copernicus Marine","env, install, module, verbose"," Invisibly returns the imported Python module when available. ",TRUE,FALSE,TRUE,"retain","cm_setup","retain public name and expand only with compatible defaults","NAMESPACE export; man/cm_setup.Rd; no direct-call test file; roadmap section 21.3","Purpose/output summarized from current Rd; verify semantics before redesign."
"coast_dist","R/coast_dist.R","Attach distance to coast to an ocean cube","x, coast"," An \verb{<ocean_cube>} with \code{x$dc} as a \verb{[lon, lat]} matrix in nautical miles. ",TRUE,TRUE,TRUE,"review","","human decision required before API change","NAMESPACE export; man/coast_dist.Rd; 1 direct-call test files; roadmap review required","Purpose/output summarized from current Rd; verify semantics before redesign."
"crop_stock","R/stock_mask.R","Apply a stock mask to an ocean cube","x, mask"," A masked \verb{<ocean_cube>} object. ",TRUE,TRUE,TRUE,"review","","human decision required before API change","NAMESPACE export; man/crop_stock.Rd; 2 direct-call test files; roadmap review required","Purpose/output summarized from current Rd; verify semantics before redesign."
"cube_cell_area","R/cube_grid_geometry.R","Compute horizontal cell areas for an ocean cube","x, unit"," A longitude-by-latitude numeric matrix with geometry provenance attributes. ",TRUE,TRUE,TRUE,"retain","cube_cell_area","retain public name and expand only with compatible defaults","NAMESPACE export; man/cube_cell_area.Rd; 1 direct-call test files; roadmap section 21.3","Purpose/output summarized from current Rd; verify semantics before redesign."
"cube_cell_volume","R/cube_grid_geometry.R","Compute three-dimensional cell volumes for an ocean cube","x, depth_bounds, unit"," A longitude-by-latitude-by-depth numeric array. ",TRUE,TRUE,TRUE,"retain","cube_cell_volume","retain public name and expand only with compatible defaults","NAMESPACE export; man/cube_cell_volume.Rd; 1 direct-call test files; roadmap section 21.3","Purpose/output summarized from current Rd; verify semantics before redesign."
"cube_collect","R/cube_collect.R","Materialize an ocean cube in memory","x"," An \verb{<ocean_cube>} using the memory backend. ",TRUE,TRUE,TRUE,"retain","cube_collect","retain public name and expand only with compatible defaults","NAMESPACE export; man/cube_collect.Rd; 6 direct-call test files; roadmap section 21.3","Purpose/output summarized from current Rd; verify semantics before redesign."
"cube_crop","R/cube_crop.R","Crop an ocean cube with closed coordinate ranges","x, longitude, latitude, depth, time, variable, bbox, outside"," An \verb{<ocean_cube>} using the memory backend and retaining all five dimensions. ",TRUE,TRUE,TRUE,"retain","cube_crop","retain public name and expand only with compatible defaults","NAMESPACE export; man/cube_crop.Rd; 2 direct-call test files; roadmap section 21.3","Purpose/output summarized from current Rd; verify semantics before redesign."
"cube_extract","R/cube_extract.R","Extract ocean-cube cells as a data frame","x, longitude, latitude, depth, time, variable, by, match, tolerance, mode, format, keep_index, keep_distance"," A base \code{data.frame} with lightweight selection and provenance attributes. Long output contains \code{longitude}, \code{latitude}, \code{depth}, \code{time}, \code{variable}, \code{unit}, and \code{value}. ",TRUE,TRUE,TRUE,"retain","cube_extract","retain public name and expand only with compatible defaults","NAMESPACE export; man/cube_extract.Rd; 2 direct-call test files; roadmap section 21.3","Purpose/output summarized from current Rd; verify semantics before redesign."
"cube_layer_thickness","R/cube_grid_geometry.R","Compute vertical layer thicknesses for an ocean cube","x, depth_bounds, unit"," A numeric vector in cube depth order. ",TRUE,TRUE,TRUE,"retain","cube_layer_thickness","retain public name and expand only with compatible defaults","NAMESPACE export; man/cube_layer_thickness.Rd; 1 direct-call test files; roadmap section 21.3","Purpose/output summarized from current Rd; verify semantics before redesign."
"cube_mask","R/cube_mask.R","Mask an ocean cube with polygon cell-centre coverage","x, polygons, crs, keep, boundary"," A memory-backed \verb{<ocean_cube>} with the same coordinates, units, dimensions, and extents as \code{x}. Its \verb{<ocean_mask>} records coverage and lightweight geometry metadata. ",TRUE,TRUE,TRUE,"retain","cube_mask","retain public name and expand only with compatible defaults","NAMESPACE export; man/cube_mask.Rd; 2 direct-call test files; roadmap section 21.3","Purpose/output summarized from current Rd; verify semantics before redesign."
"cube_polygon_weights","R/cube_polygon_weights.R","Build polygon-to-cube geometric weights","x, polygons, id_col, crs, dimension, depth_bounds, include_zero"," A data frame with stable feature/cell keys, bounds, areas, fractions, coverage diagnostics, and—when \code{dimension = ""3d""}—depth and volume fields. ",TRUE,TRUE,TRUE,"retain","cube_polygon_weights","retain public name and expand only with compatible defaults","NAMESPACE export; man/cube_polygon_weights.Rd; 2 direct-call test files; roadmap section 21.3","Purpose/output summarized from current Rd; verify semantics before redesign."
"cube_slice","R/cube_slice.R","Select discrete positions or coordinate values from an ocean cube","x, longitude, latitude, depth, time, variable, by, match, tolerance"," An \verb{<ocean_cube>} using the memory backend and retaining all five dimensions. ",TRUE,TRUE,TRUE,"retain","cube_slice","retain public name and expand only with compatible defaults","NAMESPACE export; man/cube_slice.Rd; 3 direct-call test files; roadmap section 21.3","Purpose/output summarized from current Rd; verify semantics before redesign."
"cube_transect","R/cube_transect.R","Extract an ordered ocean transect as a table","x, path, lon_col, lat_col, id_col, depth, time, variable, by, match, tolerance, mode, format, keep_index"," A fully materialized base \code{data.frame}. Requested and matched cumulative horizontal distances are in kilometres. ",TRUE,TRUE,TRUE,"retain","cube_transect","retain public name and expand only with compatible defaults","NAMESPACE export; man/cube_transect.Rd; 1 direct-call test files; roadmap section 21.3","Purpose/output summarized from current Rd; verify semantics before redesign."
"download_nc","R/download_nc.R","Download a subset from a Copernicus Marine dataset","dataset_id, vars, lon, lat, time, depth, outdir, fmt, overwrite, skip_existing, dry_run, filename, verbose"," Output file path. ",TRUE,FALSE,TRUE,"rename","download_copernicus","temporary compatibility alias to download_copernicus with gradual deprecation","NAMESPACE export; man/download_nc.Rd; no direct-call test file; roadmap section 21.4","Purpose/output summarized from current Rd; verify semantics before redesign."
