"function","input_dimensions","output_dimensions","preserves_5d","reduces_axes","returns_geometry","notes"
"annual_index","ocean_cube","annual summary",FALSE,TRUE,FALSE,"Summarise a cube by calendar year."
"anom_diff","ocean_cube","ocean_cube",TRUE,FALSE,FALSE,"Compute absolute anomalies from a climatology."
"anom_z","ocean_cube","ocean_cube",TRUE,FALSE,FALSE,"Compute standardised anomalies."
"cube_anomaly","ocean_cube + climatology","ocean_cube",TRUE,FALSE,FALSE,"Preserve the source 5-D shape and replace values with canonical anomalies."
"clim_day","ocean_cube","climatology",FALSE,FALSE,FALSE,"Estimate daily climatology."
"clim_month","ocean_cube","climatology",FALSE,FALSE,FALSE,"Estimate monthly climatology."
"cm_connect","configuration","connection",TRUE,FALSE,FALSE,"Connect to the configured Copernicus client."
"cm_setup","configuration","configuration",TRUE,FALSE,FALSE,"Configure Copernicus access without embedding credentials."
"coast_dist","ocean_cube + geometry","distance matrix",TRUE,FALSE,FALSE,"Compute distance to a coastline geometry."
"crop_stock","stock object","cropped stock",TRUE,FALSE,FALSE,"Crop legacy stock objects to their domain."
"cube_cell_area","ocean_cube","matrix",TRUE,FALSE,TRUE,"Compute rectilinear horizontal cell areas."
"cube_cell_volume","ocean_cube","array",TRUE,FALSE,TRUE,"Combine cell area and layer thickness into volume."
"cube_aggregate_time","ocean_cube","ocean_cube",TRUE,TRUE,FALSE,"Replace only time with a regularized aggregated axis."
"cube_climatology","ocean_cube","ocean_cube",TRUE,TRUE,FALSE,"Replace time with a complete recurrent climatology cycle."
"cube_trend","ocean_cube","ocean_cube",TRUE,TRUE,FALSE,"Collapse historical time to one representational anchor and replace values with per-cell slopes."
"cube_validate","ocean_cube","validation report",TRUE,FALSE,FALSE,"Inspect the contract without transforming any canonical dimension."
"cube_inspect","ocean_cube","inspection report",TRUE,FALSE,FALSE,"Describe the cube without transforming any canonical dimension."
"cube_collect","ocean_cube","ocean_cube",FALSE,FALSE,FALSE,"Materialise a lazy cube in memory."
"cube_open","NetCDF path","ocean_cube",TRUE,FALSE,FALSE,"Create a deferred cube descriptor without reading scientific payload values."
"cube_crop","ocean_cube","ocean_cube",FALSE,TRUE,FALSE,"Crop continuous coordinate intervals."
"cube_extract","ocean_cube","data.frame",FALSE,FALSE,FALSE,"Extract values as tidy tables, series, or profiles."
"cube_layer_thickness","ocean_cube","vector/array",TRUE,FALSE,TRUE,"Compute vertical layer thickness."
"cube_mask","ocean_cube + polygon","ocean_cube",TRUE,FALSE,FALSE,"Mask cells by polygon using cell centres."
"cube_polygon_weights","ocean_cube + polygon","data.frame",TRUE,FALSE,TRUE,"Compute sparse polygon-cell intersection weights."
"cube_slice","ocean_cube","ocean_cube",FALSE,TRUE,FALSE,"Select discrete coordinates or indices."
"cube_transect","ocean_cube + path","data.frame",FALSE,FALSE,FALSE,"Extract ordered paired spatial locations."
"download_nc","request","file(s)",TRUE,FALSE,FALSE,"Download a Copernicus product through the configured client."
"layer_mean","ocean_cube","ocean_cube",FALSE,TRUE,FALSE,"Compute a vertical layer summary."
"layer_integral","ocean_cube","ocean_cube",FALSE,TRUE,FALSE,"Replace depth cells with requested certified metric integrals."
"link_events","events + ocean_cube","data.frame",FALSE,FALSE,FALSE,"Attach nearest cube values to event rows."
"ocean_cube","coordinates + array/backend","ocean_cube",TRUE,FALSE,FALSE,"Construct and validate a canonical five-dimensional cube."
"read_nc","NetCDF path","ocean_cube",TRUE,FALSE,FALSE,"Create a read-only local NetCDF-backed cube."
"signal_noise","ocean_cube + daily/monthly climatology","ocean_anom",TRUE,FALSE,FALSE,"Preserve the source 5-D shape and time while returning abs(z) by default or signed z on request."
"stock_mask","stock geometry","mask",TRUE,FALSE,FALSE,"Create a legacy stock mask."
"to_month","ocean_cube","ocean_cube",FALSE,TRUE,FALSE,"Aggregate daily or irregular observations to months."
"viz.map","ocean_cube","ggplot",TRUE,FALSE,FALSE,"Visualize one selected layer without transforming the scientific cube."
"viz.section","ocean_cube","ggplot",TRUE,FALSE,FALSE,"Visualize one selected vertical plane without transforming the scientific cube."
"viz.profile","ocean_cube","ggplot",TRUE,FALSE,FALSE,"Visualize one selected depth profile without transforming the scientific cube."
"viz.transect","ocean_cube + path","ggplot",TRUE,FALSE,FALSE,"Visualize selective transect output without transforming the scientific cube."
"viz.timeseries","ocean_cube","ggplot",TRUE,FALSE,FALSE,"Visualize one raw point series without transforming the scientific cube."
