"id","roadmap_stage","roadmap_item","proposed_module","proposed_api","status","origin_category","origin_detail","external_reference","scientific_problem","computational_problem","why_oceancube","destination","implementation_strategy","dependency_strategy","prerequisites","priority","target_version","risk","maintainer_decision_required","decision_id","notes"
"OC-HARD-01","0.3.0-A","Backend parity baseline","backend-validation","test matrix; no public API","APPROVED-CONCEPT","INTERNAL;ARCHITECTURAL","Post-release audit found memory and deferred NetCDF behavior need comparable evidence","none (repository backend evidence)","Equivalent scientific selections must produce equivalent values and metadata","Materialized and bounded reads can diverge in indexing, missingness, or attributes","Backend correctness is a core cube responsibility","oceancube","Define operation-by-operation parity fixtures and tolerances","No new runtime dependency","Stable 0.2.0 baseline and fixture governance","P0","0.3.0-A","high","FALSE","DEC-007","Parity measurement precedes backend expansion"
"OC-HARD-02","0.3.0-A","Performance benchmark framework","performance","benchmark harness; no public API","APPROVED-CONCEPT","INTERNAL;ARCHITECTURAL","No formal benchmark suite exists","none (internal measurement need)","Users need predictable bounded operations on ocean cubes","Runtime regressions are invisible without reproducible size classes","Performance is part of storage-aware cube behavior","oceancube","Benchmark representative crop, slice, extract, collect, temporal, and geometry paths","Development-only benchmark tooling selected later","Backend parity and fixture size classes","P0","0.3.0-A","medium","FALSE","DEC-007","Baseline first; optimization is not required for gate completion"
"OC-HARD-03","0.3.0-A","Property and invariance test framework","validation","property generators; no public API","APPROVED-CONCEPT","INTERNAL;ARCHITECTURAL","Example-based tests do not cover broad coordinate and shape combinations","none (internal verification need)","Cube transformations must preserve dimensions, coordinates, units, and provenance invariants","Combinatorial shapes and selections are expensive to enumerate manually","Contract invariants belong with the cube engine","oceancube","Generate bounded valid/invalid cubes and assert algebraic and metadata properties","Development-only tool or internal generators; decision after prototype","Stable validation contract","P0","0.3.0-A","medium","FALSE","DEC-007","Includes singleton dimensions, reversed selections, and backend equivalence"
"OC-HARD-04","0.3.0-A","Code coverage audit","validation","coverage report; no public API","APPROVED-CONCEPT","INTERNAL;ARCHITECTURAL","No formal coverage baseline exists","none (internal verification need)","Critical scientific branches need visible test evidence","Raw percentages can hide untested error and metadata paths","Package maintainers own test completeness","oceancube","Measure by module and classify uncovered scientific, backend, error, and documentation paths","Development-only coverage tooling","Current test suite green","P0","0.3.0-A","low","FALSE","DEC-007","Coverage is evidence, not a percentage-only gate"
"OC-HARD-05","0.3.0-A","Memory profiling and estimator baseline","performance","internal profiler and estimator review","APPROVED-CONCEPT","INTERNAL;ARCHITECTURAL","Materialization and large outputs need measured memory behavior","none (internal performance evidence)","Ocean fields can exceed available memory","Copies, array reshaping, and plotting can multiply peak allocation","Storage-aware behavior is part of oceancube","oceancube","Profile representative operations and compare estimates with peak allocations","Development-only profiler; no runtime dependency until justified","Benchmark framework and size classes","P0","0.3.0-A","medium","FALSE","DEC-007","Required before large 3-D and chunk planning"
"OC-HARD-06","0.3.0-A","Backend stress-test framework","backend-validation","stress scenarios; no public API","APPROVED-CONCEPT","INTERNAL;ARCHITECTURAL","No formal stress suite exists","none (internal backend evidence)","Long time axes, sparse selections, and many variables expose backend edge cases","File handles, read plans, and memory pressure fail outside unit-scale fixtures","Backend reliability belongs in oceancube","oceancube","Add bounded opt-in stress profiles with recorded machine and data size","Development-only; exclude heavy runs from ordinary CI","Parity, benchmark, and fixture governance","P0","0.3.0-A","medium","FALSE","DEC-007","CI uses small representatives; scheduled/local runs may be larger"
"OC-HARD-07","0.3.0-A","Real-data fixture governance","test-data","fixture manifests; no public API","APPROVED-CONCEPT","INTERNAL;ARCHITECTURAL","Real products are needed without committing operational datasets","provider terms vary","Scientific metadata and grid behavior must be tested against actual products","Large, credentialed, or restricted sources are not CI-safe","Package validation needs governed representative evidence","oceancube","Require source, license, derivation, checksum, size budget, and CI eligibility manifests","Provider clients remain outside core unless separately approved","Per-source legal and access review","P0","0.3.0-A","high","TRUE","DEC-024","No download occurs in roadmap phase"
"OC-BACKEND-01","0.3.0-A","Public lazy-NetCDF access contract","backend-netcdf","ocean_cube descriptor input vs read_nc mode vs candidate cube_open()","PROPOSED","INTERNAL;USER-DRIVEN;ARCHITECTURAL","read_nc materializes while a bounded deferred backend exists internally","https://docs.ropensci.org/tidync/","Users need explicit access to bounded reads without breaking read_nc compatibility","A public entry must preserve serialization, file identity, errors, and lifecycle","NetCDF access is core oceancube I/O","oceancube","Write API option paper and prototype internally before selecting a public surface","tidync is inspiration or oracle; not an automatic dependency","Backend parity baseline and provenance v1","P0","0.3.0-A","high","TRUE","DEC-018","No function name is approved"
"OC-PROV-01","0.3.0-A","Versioned provenance contract","provenance","schema fields and internal append/validate engine","APPROVED-CONCEPT","INTERNAL;ARCHITECTURAL","Current provenance exists without an explicit schema version","none (internal contract evidence)","Scientific transformations need reproducible method and source lineage","Heterogeneous free-form records cannot be compared or migrated safely","Every field transformation must record provenance","oceancube","Define schema_version, operation, parameters, parents, source identity, time, package version, backend, coordinate transforms, and method ID","Native minimal schema first; CF integration in 0.3.0-B","Stable operation inventory and backend parity","P0","0.3.0-A","high","FALSE","DEC-019","P0 minimal schema; extensible without serializing live backends"
"OC-DATAFIX-01","0.3.0-A","Copernicus Marine physical-model fixture","test-data","fixture only","PROPOSED","USER-DRIVEN;EXTERNAL-INSPIRED","Current workflows target Copernicus Marine model products","https://marine.copernicus.eu/","Validate depth, masks, variables, time, units, and real CF metadata","Authenticated access and product size prevent direct CI download","Representative model data validates the primary ocean-cube use case","oceancube","Derive a tiny checksum-pinned subset only after terms and redistribution review","No provider client added to core by this row","Fixture governance and access approval","P0","0.3.0-A","high","TRUE","DEC-024","CI-safe only if redistribution is approved; otherwise use metadata plus synthetic analogue"
