"current_function","source_file","current_purpose","current_input","current_output","current_users_workflow","roadmap_role","decision","proposed_name","compatibility_alias","deprecation_start","deprecation_removal","required_for_core_0.2.0","implementation_phase","test_status","documentation_status","risk","evidence","notes"
"annual_index","R/annual_index.R","Compute annual indicators from an ocean cube","x, threshold_pos, threshold_neg","A data frame of annual indicators by variable and depth layer.","Aggregate or summarize time series","Existing specialized API; outside mandatory core until roadmap approval","retain","annual_index",FALSE,"not-planned","not-planned",FALSE,"preserve unchanged; reassess post-core","3 referencing test/helper files","7 referencing documentation files","medium: specialized user workflows may depend on current semantics","R/annual_index.R:9 verified definition; NAMESPACE export() registration; tests: tests/testthat/test-clim-anom.R; tests/testthat/test-refactor-layer-annual-backend.R; tests/testthat/test-scientific-baseline.R; documentation: handbook/07-temporal-climatology.qmd; handbook/09-function-reference.qmd; handbook/functions/annual_index.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd; inst/examples/refactor_layer_annual_backend.R; man/annual_index.Rd","Not equivalent to generic to_year(): it computes threshold-oriented annual indicators."
"anom_diff","R/anom_diff.R","Compute absolute anomalies from a climatology","x, clim","An \verb{<ocean_cube>} with anomaly values \code{x - climatology}.","Compute climatology or anomaly products","anomaly / core","retain","anom_diff",FALSE,"not-planned","not-planned",TRUE,"core-0.2.0","4 referencing test/helper files","13 referencing documentation files","low: retain current public contract","R/anom_diff.R:8 verified definition; NAMESPACE export() registration; tests: tests/testthat/test-clim-anom.R; tests/testthat/test-daily-link.R; tests/testthat/test-refactor-temporal-backend.R; tests/testthat/test-scientific-baseline.R; documentation: docs/roadmap/oceancube-v0.2.0-scope.Rmd; handbook/07-temporal-climatology.qmd; handbook/09-function-reference.qmd; handbook/14-cheat-sheet.qmd; handbook/functions/anom_diff.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd; inst/examples/baseline_ocean_cube.R",""
"anom_z","R/anom_diff.R","Compute standardized anomalies from a climatology","x, clim","An \verb{<ocean_cube>} with standardized anomaly values \code{(x - climatology) / sd_clim}.","Compute climatology or anomaly products","anomaly / core","retain","anom_z",FALSE,"not-planned","not-planned",TRUE,"core-0.2.0","3 referencing test/helper files","12 referencing documentation files","low: retain current public contract","R/anom_diff.R:19 verified definition; NAMESPACE export() registration; tests: tests/testthat/test-daily-link.R; tests/testthat/test-refactor-temporal-backend.R; tests/testthat/test-scientific-baseline.R; documentation: docs/roadmap/oceancube-v0.2.0-scope.Rmd; handbook/07-temporal-climatology.qmd; handbook/09-function-reference.qmd; handbook/14-cheat-sheet.qmd; handbook/functions/anom_z.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd; inst/examples/refactor_temporal_backend.R",""
"clim_day","R/clim_day.R","Compute daily climatology from an ocean cube","x, period, leap, min_n","An object of class \verb{<ocean_clim>}.","Compute climatology or anomaly products","climatology / core","retain","clim_day",FALSE,"not-planned","not-planned",TRUE,"core-0.2.0","3 referencing test/helper files","14 referencing documentation files","low: retain current public contract","R/clim_day.R:19 verified definition; NAMESPACE export() registration; tests: tests/testthat/test-daily-link.R; tests/testthat/test-refactor-temporal-backend.R; tests/testthat/test-scientific-baseline.R; documentation: docs/roadmap/oceancube-v0.2.0-scope.Rmd; handbook/07-temporal-climatology.qmd; handbook/09-function-reference.qmd; handbook/14-cheat-sheet.qmd; handbook/functions/clim_day.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd; man/anom_diff.Rd",""
"clim_month","R/clim_month.R","Compute monthly climatology from an ocean cube","x, period","An object of class \verb{<ocean_clim>}.","Compute climatology or anomaly products","climatology / core","retain","clim_month",FALSE,"not-planned","not-planned",TRUE,"core-0.2.0","8 referencing test/helper files","16 referencing documentation files","low: retain current public contract","R/clim_month.R:8 verified definition; NAMESPACE export() registration; tests: tests/testthat/test-backend-memory.R; tests/testthat/test-clim-anom.R; tests/testthat/test-cube-collect.R; tests/testthat/test-cube-slice.R; tests/testthat/test-ocean-cube-contract.R; tests/testthat/test-refactor-temporal-backend.R; tests/testthat/test-release-contract.R; tests/testthat/test-scientific-baseline.R; documentation: docs/roadmap/oceancube-v0.2.0-scope.Rmd; handbook/07-temporal-climatology.qmd; handbook/09-function-reference.qmd; handbook/14-cheat-sheet.qmd; handbook/functions/clim_month.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd; inst/examples/baseline_ocean_cube.R",""
"cm_connect","R/cm_setup.R","Connect to the Copernicus Marine Python module","env, required, module, verbose","Imported Python module.","Acquire or open ocean data before cube analysis","ingestion-copernicus / core","retain","cm_connect",FALSE,"not-planned","not-planned",TRUE,"core-0.2.0","no direct static test reference found","6 referencing documentation files","low: retain current public contract","R/cm_setup.R:51 verified definition; NAMESPACE export() registration; documentation: handbook/04-data-access.qmd; handbook/09-function-reference.qmd; handbook/functions/cm_connect.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd; man/cm_connect.Rd",""
"cm_setup","R/cm_setup.R","Set up the Python environment used by Copernicus Marine","env, install, module, verbose","Invisibly returns the imported Python module when available.","Acquire or open ocean data before cube analysis","ingestion-copernicus / core","retain","cm_setup",FALSE,"not-planned","not-planned",TRUE,"core-0.2.0","no direct static test reference found","6 referencing documentation files","low: retain current public contract","R/cm_setup.R:13 verified definition; NAMESPACE export() registration; documentation: handbook/04-data-access.qmd; handbook/09-function-reference.qmd; handbook/functions/cm_setup.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd; man/cm_setup.Rd",""
"coast_dist","R/coast_dist.R","Attach distance to coast to an ocean cube","x, coast","An \verb{<ocean_cube>} with \code{x$dc} as a \verb{[lon, lat]} matrix in nautical miles.","Derive geometry or spatial metrics","Existing specialized API; outside mandatory core until roadmap approval","retain","coast_dist",FALSE,"not-planned","not-planned",FALSE,"preserve unchanged; reassess post-core","1 referencing test/helper files","7 referencing documentation files","medium: specialized user workflows may depend on current semantics","R/coast_dist.R:8 verified definition; NAMESPACE export() registration; tests: tests/testthat/test-refactor-coast-dist-backend.R; documentation: handbook/06-masks.qmd; handbook/09-function-reference.qmd; handbook/functions/coast_dist.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd; inst/examples/refactor_coast_dist_backend.R; man/coast_dist.Rd","Retained as a specialized, documented extension; not required to implement the mandatory core workflow."
"crop_stock","R/stock_mask.R","Apply a stock mask to an ocean cube","x, mask","A masked \verb{<ocean_cube>} object.","Select a spatial, temporal, vertical or stock subset","Existing specialized API; outside mandatory core until roadmap approval","retain","crop_stock",FALSE,"not-planned","not-planned",FALSE,"preserve unchanged; reassess post-core","2 referencing test/helper files","7 referencing documentation files","medium: specialized user workflows may depend on current semantics","R/stock_mask.R:75 verified definition; NAMESPACE export() registration; tests: tests/testthat/test-layer-time-mask.R; tests/testthat/test-scientific-baseline.R; documentation: handbook/06-masks.qmd; handbook/09-function-reference.qmd; handbook/functions/crop_stock.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd; man/crop_stock.Rd; man/cube_mask.Rd","Retained as a specialized, documented extension; not required to implement the mandatory core workflow."
"cube_cell_area","R/cube_grid_geometry.R","Compute horizontal cell areas for an ocean cube","x, unit","A longitude-by-latitude numeric matrix with geometry provenance attributes.","Derive geometry or spatial metrics","geometry / high","retain","cube_cell_area",FALSE,"not-planned","not-planned",FALSE,"preserve unchanged; reassess post-core","1 referencing test/helper files","12 referencing documentation files","low: retain current public contract","R/cube_grid_geometry.R:15 verified definition; NAMESPACE export() registration; tests: tests/testthat/test-cube-grid-geometry.R; documentation: docs/roadmap/oceancube-v0.2.0-scope.Rmd; handbook/08-grid-geometry.qmd; handbook/09-function-reference.qmd; handbook/14-cheat-sheet.qmd; handbook/functions/cube_cell_area.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd; inst/examples/cube_geometry_weights.R",""
