"function","typical_previous","typical_next","workflow_role"
"annual_index","ocean_cube","analysis","Produce a specialised post-core annual summary table."
"anom_diff","clim_day/clim_month","analysis","Compatibility wrapper that adapts legacy climatology and delegates difference anomalies to cube_anomaly."
"anom_z","clim_day/clim_month","signal_noise/analysis","Compatibility wrapper that adapts legacy climatology and delegates standardized anomalies to cube_anomaly."
"cube_anomaly","cube_climatology","analysis","Compute canonical difference or standardized anomalies."
"clim_day","ocean_cube","anom_diff/anom_z/signal_noise","Compatibility wrapper over the canonical daily cube_climatology engine."
"clim_month","ocean_cube/cube_aggregate_time","anom_diff/anom_z/signal_noise","Compatibility wrapper over the canonical monthly cube_climatology engine."
"cm_connect","cm_setup","download_nc","Connect to the configured Copernicus client."
"cm_setup","none","cm_connect","Configure Copernicus access without embedding credentials."
"coast_dist","ocean_cube","analysis","Compute distance to a coastline geometry."
"crop_stock","stock_mask","analysis","Crop legacy stock objects to their domain."
"cube_cell_area","ocean_cube","cube_cell_volume/cube_polygon_weights","Compute rectilinear horizontal cell areas."
"cube_cell_volume","cube_cell_area + cube_layer_thickness","integration","Combine cell area and layer thickness into volume."
"cube_aggregate_time","ocean_cube","cube_climatology/cube_anomaly/cube_trend/analysis","Aggregate only historical time into canonical calendar periods."
"cube_climatology","ocean_cube","cube_anomaly/clim_day/clim_month","Compute two-stage recurrent climatology means and sample SD."
"cube_trend","ocean_cube/cube_aggregate_time/cube_anomaly/signal_noise","viz.map/analysis","Compute descriptive per-cell linear slopes against actual elapsed time."
"cube_validate","ocean_cube/read_nc","cube_inspect/selection","Diagnose the full cube contract without repairing data."
"cube_inspect","cube_validate","selection/visualization/temporal processing","Summarize structure, storage, time, missingness policy, and provenance."
"cube_collect","read_nc","cube_slice/cube_crop","Materialise a lazy cube in memory."
"cube_open","local NetCDF path","cube_slice/cube_crop/cube_collect/layer_integral","Open a deferred read-only local NetCDF cube."
"cube_crop","ocean_cube","cube_extract","Crop continuous coordinate intervals."
"cube_extract","cube_slice/cube_crop","spatind/data analysis","Extract values as tidy tables, series, or profiles."
"cube_layer_thickness","ocean_cube","cube_cell_volume","Compute vertical layer thickness."
"cube_mask","cube_crop","analysis","Mask cells by polygon using cell centres."
"cube_polygon_weights","cube_cell_area","spatind","Compute sparse polygon-cell intersection weights."
"cube_slice","ocean_cube","cube_extract","Select discrete coordinates or indices."
"cube_transect","cube_crop","analysis","Extract ordered paired spatial locations."
"download_nc","cm_connect","read_nc","Download a Copernicus product through the configured client."
"layer_mean","ocean_cube","annual_index","Compute a vertical layer summary."
"layer_integral","read_nc/cube_open","analysis","Integrate certified CF vertical cell means over explicit metric-depth bounds."
"link_events","events + ocean_cube","analysis","Attach nearest cube values to event rows."
"ocean_cube","array/read_nc","cube_slice","Construct and validate a canonical five-dimensional cube."
"read_nc","download_nc","cube_collect","Create a read-only local NetCDF-backed cube."
"signal_noise","clim_day/clim_month via canonical cube_anomaly z","cube_trend/analysis","Apply identity or abs transformation to one canonical standardized-anomaly calculation."
"stock_mask","geometry","crop_stock","Create a legacy stock mask."
"to_month","ocean_cube","clim_month","Compatibility wrapper for monthly temporal aggregation."
"viz.map","cube_slice/cube_crop/cube_aggregate_time/cube_anomaly/cube_trend","presentation","Visualize one horizontal layer, including singleton-time trend output."
"viz.section","cube_slice/cube_crop","presentation","Visualize one stored vertical plane."
"viz.profile","cube_extract/cube_crop","presentation","Visualize one stored depth profile."
"viz.transect","cube_transect/cube_crop","presentation","Visualize an ordered horizontal or distance-depth path."
"viz.timeseries","cube_extract/cube_crop","cube_aggregate_time/analysis","Visualize raw stored historical observations at one point and depth."
