"function","memory_supported","netcdf_supported","reads_full_cube","reads_subset","reads_no_values","materializes","notes"
"annual_index",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Summarise a cube by calendar year."
"cube_aggregate_time",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"Aggregate only time through bounded period/block reads; output is a memory cube."
"cube_climatology",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"Compute recurrent climatology through bounded period/block reads; output is a memory cube."
"cube_trend",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"Compute per-cell elapsed-time OLS slopes in one bounded scientific pass; output is a memory cube."
"cube_validate",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Validate structure and metadata without reading a complete lazy NetCDF payload."
"cube_inspect",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"Inspect structure without values by default for NetCDF; missing='full' warns before a complete read."
"anom_diff",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"Compatibility wrapper over bounded canonical difference anomalies."
"anom_z",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"Compatibility wrapper over bounded canonical standardized anomalies."
"cube_anomaly",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"Compute canonical anomalies with bounded reads; output is a memory cube."
"clim_day",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"Compatibility wrapper for two-stage daily climatology."
"clim_month",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"Compatibility wrapper for two-stage monthly climatology."
"cm_connect",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Connect to the configured Copernicus client."
"cm_setup",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Configure Copernicus access without embedding credentials."
"coast_dist",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Compute distance to a coastline geometry."
"crop_stock",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Crop legacy stock objects to their domain."
"cube_cell_area",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Compute rectilinear horizontal cell areas."
"cube_cell_volume",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Combine cell area and layer thickness into volume."
"cube_collect",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"Materialise a lazy cube in memory."
"cube_open",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"Open a local read-only NetCDF descriptor without reading scientific payload values."
"cube_crop",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"Crop continuous coordinate intervals."
"cube_extract",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"Extract values as tidy tables, series, or profiles."
"cube_layer_thickness",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Compute vertical layer thickness."
"cube_mask",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"Mask cells by polygon using cell centres."
"cube_polygon_weights",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Compute sparse polygon-cell intersection weights."
"cube_slice",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"Select discrete coordinates or indices."
"cube_transect",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"Extract ordered paired spatial locations."
"depth_feature",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Reduce a certified memory gradient cube without NetCDF scientific payload reads."
"depth_gradient",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"Compute all adjacent vertical secants through one complete-profile indexed read."
"depth_sample",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"Sample cell means or interpolate point values through one bounded union depth read."
"download_nc",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Download a Copernicus product through the configured client."
"layer_mean",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"Compute a vertical layer summary through bounded depth reads; output is a memory cube."
"layer_integral",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"Integrate certified CF vertical cell means through one bounded depth-index read."
"link_events",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"Attach nearest cube values to event rows."
"ocean_cube",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Construct and validate a canonical five-dimensional cube."
"read_nc",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Create a read-only local NetCDF-backed cube."
"signal_noise",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"Compute abs(z), or signed z, through one bounded canonical z-anomaly calculation; output is a memory cube."
"stock_mask",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Create a legacy stock mask."
"to_month",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"Supported reducers delegate to selective temporal aggregation; deprecated custom functions may read the full cube."
"viz.map",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"Read only one selected horizontal layer and return a ggplot object."
"viz.section",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"Read only one selected vertical plane and return a ggplot object."
"viz.profile",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"Read only one selected vertical profile and return a ggplot object."
"viz.transect",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"Delegate selective path extraction to cube_transect and return a ggplot object."
"viz.timeseries",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"Read one selected point/depth/time interval and return a ggplot object."
